REF_DATE,GEO,DGUID,Components of population growth,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-00,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,2864,,,,0
Apr-00,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3552,,,,0
Jul-00,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4171,,,,0
Oct-00,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3762,,,,0
Jan-01,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3830,,,,0
Apr-01,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4439,,,,0
Jul-01,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4591,,,,0
Oct-01,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3546,,,,0
Jan-02,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3929,,,,0
Apr-02,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4623,,,,0
Jul-02,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3099,,,,0
Oct-02,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3131,,,,0
Jan-03,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3102,,,,0
Apr-03,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4298,,,,0
Jul-03,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4576,,,,0
Oct-03,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3861,,,,0
Jan-04,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4078,,,,0
Apr-04,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4605,,,,0
Jul-04,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4522,,,,0
Oct-04,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,3275,,,,0
Jan-05,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4355,,,,0
Apr-05,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5293,,,,0
Jul-05,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5590,,,,0
Oct-05,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4169,,,,0
Jan-06,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4727,,,,0
Apr-06,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5444,,,,0
Jul-06,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5713,,,,0
Oct-06,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4833,,,,0
Jan-07,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,4014,,,,0
Apr-07,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5593,,,,0
Jul-07,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,6171,,,,0
Oct-07,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5088,,,,0
Jan-08,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5352,,,,0
Apr-08,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,7198,,,,0
Jul-08,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,6457,,,,0
Oct-08,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5202,,,,0
Jan-09,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5764,,,,0
Apr-09,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,7740,,,,0
Jul-09,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,7588,,,,0
Oct-09,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5932,,,,0
Jan-10,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,6765,,,,0
Apr-10,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,9732,,,,0
Jul-10,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,9485,,,,0
Oct-10,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,6675,,,,0
Jan-11,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,5917,,,,0
Apr-11,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,8387,,,,0
Jul-11,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,8971,,,,0
Oct-11,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,7689,,,,0
Jan-12,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,7518,,,,0
Apr-12,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,10385,,,,0
Jul-12,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,9082,,,,0
Oct-12,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,9107,,,,0
Jan-13,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,8093,,,,0
Apr-13,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,10583,,,,0
Jul-13,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,9154,,,,0
Oct-13,Alberta,2021A000248,Immigrants,Persons,249,units,0,v29850387,10.1,8802,,,,0
