REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2298,A,,,0
2001,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2341,A,,,0
2002,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2397,A,,,0
2003,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2445,A,,,0
2004,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2481,A,,,0
2005,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2552,A,,,0
2006,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2694,A,,,0
2007,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2764,A,,,0
2008,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2845,A,,,0
2009,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2896,A,,,0
2010,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,2942,A,,,0
2011,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3006,A,,,0
2012,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3076,A,,,0
2013,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3158,A,,,0
2014,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3215,A,,,0
2015,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3264,A,,,0
2016,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3302,A,,,0
2017,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3327,A,,,0
2018,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3369,A,,,0
2019,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3447,A,,,0
2020,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3468,A,,,0
2021,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3521,A,,,0
2022,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3678,A,,,0
2023,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107680654,12.1.1.1.1,3853,A,,,0
2000,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2234,A,,,0
2001,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2284,A,,,0
2002,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2347,A,,,0
2003,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2370,A,,,0
2004,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2411,A,,,0
2005,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2493,A,,,0
2006,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2667,A,,,0
2007,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2709,A,,,0
2008,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2792,A,,,0
2009,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2815,A,,,0
2010,Alberta,2021A000248,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107680655,12.1.1.1.2,2859,A,,,0
