REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-00,Canada,2016A000011124,Persons,249,units,0,v1,1,30594030,,,,0
Jul-00,Canada,2016A000011124,Persons,249,units,0,v1,1,30685730,,,,0
Oct-00,Canada,2016A000011124,Persons,249,units,0,v1,1,30783969,,,,0
Jan-01,Canada,2016A000011124,Persons,249,units,0,v1,1,30824441,,,,0
Apr-01,Canada,2016A000011124,Persons,249,units,0,v1,1,30910996,,,,0
Jul-01,Canada,2016A000011124,Persons,249,units,0,v1,1,31020855,,,,0
Oct-01,Canada,2016A000011124,Persons,249,units,0,v1,1,31128873,,,,0
Jan-02,Canada,2016A000011124,Persons,249,units,0,v1,1,31168896,,,,0
Apr-02,Canada,2016A000011124,Persons,249,units,0,v1,1,31252682,,,,0
Jul-02,Canada,2016A000011124,Persons,249,units,0,v1,1,31359199,,,,0
Oct-02,Canada,2016A000011124,Persons,249,units,0,v1,1,31450677,,,,0
Jan-03,Canada,2016A000011124,Persons,249,units,0,v1,1,31479415,,,,0
Apr-03,Canada,2016A000011124,Persons,249,units,0,v1,1,31549344,,,,0
Jul-03,Canada,2016A000011124,Persons,249,units,0,v1,1,31642461,,,,0
Oct-03,Canada,2016A000011124,Persons,249,units,0,v1,1,31736141,,,,0
Jan-04,Canada,2016A000011124,Persons,249,units,0,v1,1,31775723,,,,0
Apr-04,Canada,2016A000011124,Persons,249,units,0,v1,1,31844704,,,,0
Jul-04,Canada,2016A000011124,Persons,249,units,0,v1,1,31938807,,,,0
Oct-04,Canada,2016A000011124,Persons,249,units,0,v1,1,32038207,,,,0
Jan-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32075011,,,,0
Apr-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32140569,,,,0
Jul-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32242732,,,,0
Oct-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32353311,,,,0
Jan-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32394909,,,,0
Apr-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32470171,,,,0
